Neighborhood,Num
Parkmerced,7
Merced Heights,1
Outer Mission,2
Excelsior,7
Cayuga Terrace,5
Visitacion Valley,3
Little Hollywood,1
Candlestick Point SRA,1
Stonestown,12
West of Twin Peaks,14
Ingleside,3
Sunnyside,2
Mission Terrace,2
Portola,8
Bayview,9
Parkside,14
Lakeshore,4
Lakeside,2
Glen Park,5
St. Marys Park,1
Holly Park,1
Bernal Heights,11
Apparel City,3
Silver Terrace,1
India Basin,4
Outer Sunset,27
Golden Gate Heights,1
Miraloma,2
Diamond Heights,2
Noe Valley,14
Dolores Heights,7
Peralta Heights,1
Mission District,54
Produce Market,2
Central Waterfront,3
Twin Peaks,1
Eureka Valley,2
Potrero Hill,14
Dogpatch,9
Inner Sunset,26
Sunset District,2
Ashbury Heights,1
Cole Valley,3
Parnassus Heights,2
The Castro,11
Corona Heights,1
Mission Dolores,18
Mission Bay,19
Showplace Square,3
Outer Richmond,9
Central Richmond,12
Inner Richmond,18
Golden Gate Park,2
Lone Mountain,3
Panhandle,4
Haight-Ashbury,8
North of the Panhandle,3
Western Addition,5
Alamo Square,5
Lower Haight,15
Buena Vista,2
Civic Center,18
Hayes Valley,7
Mint Hill,2
Fillmore District,1
SoMa,46
Mid-Market,5
China Basin,5
South Beach,7
Lincoln Park,2
Little Russia,8
Lake Street,2
Presidio Terrace,1
Laurel Heights,5
Presidio Heights,2
Anza Vista,1
Lower Pacific Heights,14
Japantown,14
Pacific Heights,9
Cathedral Hill,9
Lower Nob Hill,22
Tenderloin,22
Little Saigon,5
Union Square,44
Yerba Buena,26
Rincon Hill,2
Union Street,14
Polk Gulch,17
Russian Hill,8
Nob Hill,7
Chinatown,40
North Beach,29
Financial District,53
Belden Place,3
Northern Waterfront,5
Embarcadero,12
Presidio of San Francisco,3
Main Post,2
Marina District,10
Fort Mason,7
Fisherman's Wharf,12
Telegraph Hill,1
,1
Yerba Buena Island,1
